Album Nummer,Jahr,Ebene1-Anteil,Ebene2-Anteil,Ebene3-Anteil,Ebene4-Anteil,c_Ebene1-Anteil,c_Ebene2-Anteil,c_Ebene3-Anteil,c_Ebene4-Anteil,Ebene1 und 2-Anteile,Ebene3 und 4-Anteile,cEbene1 und 2-Anteile,cEbene3 und 4-Anteile
12,1969,0.297312892,0.336465546,0.28115727,0.085064293,0.245454545,0.406060606,0.248484848,0.1,0.633778437,0.366221563,0.651515152,0.348484848
12,1969,0.321457906,0.184907598,0.386498973,0.107135524,0.251216686,0.338818076,0.22363847,0.186326767,0.506365503,0.493634497,0.590034762,0.409965238
12,1969,0.26249025,0.301202841,0.386879593,0.049427316,0.308727948,0.299907149,0.339368617,0.051996286,0.563693091,0.436306909,0.608635097,0.391364903
12,1969,0.184230478,0.276724792,0.348369977,0.190674754,0.261904762,0.391156463,0.081632653,0.265306122,0.460955269,0.539044731,0.653061224,0.346938776
12,1969,0.427513754,0.313999766,0.249707363,0.008779117,0.497635934,0.393617021,0.092789598,0.015957447,0.74151352,0.25848648,0.891252955,0.108747045
12,1969,0.35627857,0.26802904,0.282441517,0.093250874,0.328301887,0.485534591,0.100628931,0.085534591,0.62430761,0.37569239,0.813836478,0.186163522
12,1969,0.338702406,0.158613058,0.255092422,0.247592114,0.360655738,0.210592686,0.054224464,0.374527112,0.497315464,0.502684536,0.571248424,0.428751576
12,1969,0.371007121,0.288911495,0.221464903,0.11861648,0.352073733,0.323502304,0.157603687,0.166820276,0.659918616,0.340081384,0.675576037,0.324423963
12,1969,0.311353495,0.317402082,0.207833416,0.163411006,0.451845185,0.195319532,0.138613861,0.214221422,0.628755578,0.371244422,0.647164716,0.352835284
12,1969,0.304630693,0.109548412,0.199770379,0.386050517,0.148296593,0.080160321,0.219438878,0.552104208,0.414179104,0.585820896,0.228456914,0.771543086
12,1969,0.258388917,0.203078502,0.226680349,0.311852232,0.23776824,0.367381974,0.105579399,0.289270386,0.461467419,0.538532581,0.605150215,0.394849785
12,1969,0.360009051,0.246190979,0.282621813,0.111178157,0.483304042,0.180140598,0.294376098,0.042179262,0.60620003,0.39379997,0.66344464,0.33655536
13,1969,0.29290393,0.376965066,0.323799127,0.006331878,0.379480841,0.488257108,0.132262052,0,0.669868996,0.330131004,0.867737948,0.132262052
13,1969,0.360663848,0.233066475,0.264459836,0.141809841,0.425761421,0.196700508,0.180837563,0.196700508,0.593730323,0.406269677,0.622461929,0.377538071
13,1969,0.368761905,0.260571429,0.363428571,0.007238095,0.733612273,0.253835425,0.012552301,0,0.629333333,0.370666667,0.987447699,0.012552301
13,1969,0.326695044,0.242018851,0.245819398,0.185466707,0.419871795,0.330128205,0.215811966,0.034188034,0.568713895,0.431286105,0.75,0.25
13,1969,0.459412176,0.212561232,0.19576627,0.132260322,0.555555556,0.238410596,0.135393672,0.070640177,0.671973408,0.328026592,0.793966152,0.206033848
13,1969,0.254479769,0.231647399,0.220375723,0.29349711,0.326585695,0.264507422,0.070175439,0.338731444,0.486127168,0.513872832,0.591093117,0.408906883
13,1969,0.437934941,0.247774721,0.163699628,0.15059071,0.335635359,0.332872928,0.183701657,0.147790055,0.685709662,0.314290338,0.668508287,0.331491713
13,1969,0.388131132,0.396745633,0.212730318,0.002392917,0.610866753,0.329107374,0.05847348,0.001552393,0.784876765,0.215123235,0.939974127,0.060025873
13,1969,0.414134276,0.383745583,0.199293286,0.002826855,0.472527473,0.380952381,0.146520147,0,0.797879859,0.202120141,0.853479853,0.146520147
13,1969,0.317442161,0.292129442,0.198590458,0.19183794,0.548773531,0.219623503,0.11294923,0.118653736,0.609571603,0.390428397,0.768397034,0.231602966
13,1969,0.430943479,0.302507148,0.252914009,0.013635364,0.426966292,0.031835206,0.541198502,0,0.733450627,0.266549373,0.458801498,0.541198502
13,1969,0.419966478,0.390530065,0.16813325,0.021370207,0.610632184,0.252873563,0.136494253,0,0.810496543,0.189503457,0.863505747,0.136494253
