album nummer,date,ebene1,ebene2,ebene3,ebene4,c_ebene1,c_ebene2,c_ebene3,c_ebene4,e12,e34,ce12,ce34
2,1963,0.5028,0.300266667,0.1828,0.014133333,0.686098655,0.197309417,0.116591928,0,0.803066667,0.196933333,0.883408072,0.116591928
2,1963,0.309490998,0.317581685,0.338075128,0.034852189,0.414084507,0.363380282,0.156807512,0.0657277,0.627072683,0.372927317,0.777464789,0.222535211
2,1963,0.357947686,0.24084507,0.34889336,0.052313883,0.316909295,0.388577828,0.291153415,0.003359462,0.598792757,0.401207243,0.705487122,0.294512878
2,1963,0.439841569,0.304460749,0.212064152,0.04363353,0.511953833,0.141797197,0.346248969,0,0.744302318,0.255697682,0.653751031,0.346248969
2,1963,0.381047654,0.261640597,0.243815933,0.113495817,0.655844156,0.175324675,0.142857143,0.025974026,0.64268825,0.35731175,0.831168831,0.168831169
2,1963,0.348591131,0.366900487,0.136487932,0.148020449,0.405405405,0.078378378,0.401801802,0.114414414,0.715491618,0.284508382,0.483783784,0.516216216
2,1963,0.42688479,0.264140752,0.165444865,0.143529593,0.453957997,0.187399031,0.119547658,0.239095315,0.691025542,0.308974458,0.641357027,0.358642973
2,1963,0.326107011,0.357333948,0.230396679,0.086162362,0.43697479,0.367647059,0.165966387,0.029411765,0.683440959,0.316559041,0.804621849,0.195378151
2,1963,0.345053195,0.305057746,0.181629402,0.168259658,0.480130648,0.352204682,0.015242243,0.152422428,0.65011094,0.34988906,0.832335329,0.167664671
2,1963,0.415747707,0.358961146,0.218076883,0.007214264,0.554131054,0.179487179,0.266381766,0,0.774708853,0.225291147,0.733618234,0.266381766
2,1963,0.370321129,0.41112702,0.216915525,0.001636326,0.452,0.42,0.128,0,0.781448149,0.218551851,0.872,0.128
2,1963,0.432500844,0.28121836,0.193806952,0.092473844,0.606648199,0.227146814,0.110803324,0.055401662,0.713719204,0.286280796,0.833795014,0.166204986
2,1963,0.329546383,0.264241929,0.259583163,0.146628525,0.60373444,0.095435685,0.134854772,0.165975104,0.593788312,0.406211688,0.699170124,0.300829876
2,1963,0.446455675,0.386474788,0.141660577,0.025408961,0.702871411,0.188514357,0.108614232,0,0.832930463,0.167069537,0.891385768,0.108614232
3,1964,0.370861961,0.340568395,0.220487196,0.068082448,0.496138996,0.274131274,0.1003861,0.129343629,0.711430356,0.288569644,0.77027027,0.22972973
3,1964,0.251833421,0.198533263,0.243452069,0.306181247,0.282136895,0.171953255,0.18196995,0.3639399,0.450366684,0.549633316,0.45409015,0.54590985
3,1964,0.316971321,0.351560038,0.292940435,0.038528207,0.5,0.37593985,0.112781955,0.011278195,0.668531358,0.331468642,0.87593985,0.12406015
3,1964,0.316080221,0.41623634,0.192686442,0.074996998,0.183458647,0.05112782,0.362406015,0.403007519,0.732316561,0.267683439,0.234586466,0.765413534
3,1964,0.388558265,0.403647533,0.186600115,0.021194087,0.447619048,0.399134199,0.152380952,0.000865801,0.792205798,0.207794202,0.846753247,0.153246753
3,1964,0.270109689,0.256855576,0.353290676,0.119744059,0.26552795,0.330745342,0.267080745,0.136645963,0.526965265,0.473034735,0.596273292,0.403726708
